batch_id,production_date,equipment_id,shift,sequence,material_lot,feed_ratio,raw_property,temperature,pressure,feed_rate,reaction_time,vacuum,energy_kwh_per_ton,viscosity,particle_size,quality_value,yield_pct,quality_flag,dq_missing_count,dq_outlier_count,dq_review_flag
B0001,2026-01-01,EQ_A,DAY,1,M01,1.0075,99.52,182.91,2.369,103.91,60.95,0.837,239.06,420.4,17.92,99.97,95.88,NG,0,0,PASS
B0002,2026-01-01,EQ_C,SWING,2,M11,1.0039,100.26,181.76,2.312,104.21,58.93,0.809,243.19,409.6,18.66,100.11,95.06,OK,0,0,PASS
B0003,2026-01-01,EQ_C,NIGHT,3,M01,0.9918,98.62,179.00,2.205,103.44,58.66,0.858,238.72,397.0,17.79,99.84,95.65,OK,0,0,PASS
B0004,2026-01-02,EQ_A,DAY,4,M01,0.9938,98.78,185.81,2.487,96.58,61.48,0.827,240.43,409.2,17.39,99.41,96.42,NG,0,1,REVIEW
B0005,2026-01-02,EQ_C,SWING,5,M01,0.9869,99.19,181.93,2.398,103.63,60.84,0.772,234.31,409.0,17.84,99.80,97.50,OK,0,0,PASS
B0006,2026-01-02,EQ_B,NIGHT,6,M01,1.0051,99.02,182.97,2.231,98.45,63.04,0.819,245.86,413.4,18.65,99.78,96.39,OK,0,0,PASS
B0007,2026-01-03,EQ_C,DAY,7,M01,1.0103,99.21,180.90,2.226,100.88,60.78,0.769,237.12,414.1,18.35,98.91,95.55,OK,0,0,PASS
B0008,2026-01-03,EQ_B,SWING,8,M01,0.9904,99.55,179.23,2.218,104.81,61.60,0.803,248.69,420.2,17.82,99.88,96.83,OK,0,0,PASS
B0009,2026-01-03,EQ_B,NIGHT,9,M01,0.9978,99.60,181.37,2.293,95.00,60.13,0.849,243.16,409.2,18.10,100.22,96.57,OK,0,0,PASS
B0010,2026-01-04,EQ_B,DAY,10,M01,0.9979,98.64,183.19,2.322,100.24,63.84,0.744,250.51,418.6,17.43,98.97,95.46,OK,0,0,PASS
B0011,2026-01-04,EQ_C,SWING,11,M01,0.9916,98.86,179.40,2.149,110.02,53.80,0.796,236.61,393.4,16.88,98.78,97.70,OK,0,0,PASS
B0012,2026-01-04,EQ_A,NIGHT,12,M01,0.9849,99.68,178.69,2.373,99.58,58.17,0.801,229.54,405.5,18.55,99.52,96.52,OK,0,0,PASS
B0013,2026-01-05,EQ_C,DAY,13,M01,1.0097,100.03,182.53,2.408,95.17,63.11,0.803,239.49,435.6,18.60,99.37,96.45,OK,0,0,PASS
B0014,2026-01-05,EQ_C,SWING,14,M01,1.0029,98.47,176.14,2.222,99.33,60.95,0.836,227.74,427.9,18.08,99.32,96.56,OK,0,0,PASS
B0015,2026-01-05,EQ_A,NIGHT,15,M01,0.9964,99.33,181.50,2.378,96.33,59.90,0.827,238.31,428.9,16.75,99.90,96.54,OK,0,0,PASS
B0016,2026-01-06,EQ_C,DAY,16,M01,1.0024,100.72,180.33,2.351,98.95,58.03,0.804,235.91,425.5,17.67,100.06,97.06,OK,0,0,PASS
B0017,2026-01-06,EQ_B,SWING,17,M01,1.0062,98.29,181.65,2.211,100.84,62.03,0.872,248.74,428.4,17.57,98.90,96.52,OK,0,0,PASS
B0018,2026-01-06,EQ_A,NIGHT,18,M01,0.9921,100.22,181.68,2.313,103.31,63.32,0.805,243.60,436.8,18.46,100.08,95.91,OK,0,0,PASS
B0019,2026-01-07,EQ_C,DAY,19,M01,0.9766,99.74,181.74,2.257,97.01,54.65,0.814,222.47,401.7,18.42,99.80,96.37,OK,0,0,PASS
B0020,2026-01-07,EQ_A,SWING,20,M01,0.9854,98.01,182.34,2.343,99.63,56.70,0.815,236.38,405.2,15.73,99.42,96.80,OK,0,1,REVIEW
B0021,2026-01-07,EQ_B,NIGHT,21,M01,1.0074,99.31,181.40,2.341,98.30,58.63,0.819,240.62,423.6,16.65,100.34,97.01,OK,0,0,PASS
B0022,2026-01-08,EQ_B,DAY,22,M01,0.9987,97.98,177.74,2.378,106.44,53.98,0.815,233.95,419.4,18.30,99.77,96.07,OK,0,0,PASS
B0023,2026-01-08,EQ_B,SWING,23,M01,0.9948,98.54,180.45,2.372,102.46,61.44,0.830,247.78,418.8,18.35,99.76,96.68,OK,0,0,PASS
B0024,2026-01-08,EQ_C,NIGHT,24,M01,1.0079,99.39,177.71,2.256,104.23,57.47,0.857,231.54,427.7,17.29,98.77,96.82,OK,0,0,PASS
B0025,2026-01-09,EQ_B,DAY,25,M01,1.0016,99.05,182.93,2.308,99.46,58.78,0.778,236.79,427.0,18.51,99.45,94.89,OK,0,0,PASS
B0026,2026-01-09,EQ_B,SWING,26,M01,1.0158,98.29,181.83,2.347,96.28,60.54,0.836,250.17,420.3,17.73,98.89,96.99,OK,0,0,PASS
B0027,2026-01-09,EQ_A,NIGHT,27,M01,0.9937,99.48,178.12,2.168,105.22,59.77,0.886,223.25,415.1,17.99,99.42,96.74,OK,0,0,PASS
B0028,2026-01-10,EQ_B,DAY,28,M01,0.9969,99.66,181.60,2.350,100.64,61.96,0.841,247.18,405.1,18.93,99.24,96.17,OK,0,0,PASS
B0029,2026-01-10,EQ_A,SWING,29,M01,0.9850,99.57,181.32,2.408,92.18,60.53,0.798,241.85,437.0,16.89,101.00,96.50,OK,0,0,PASS
B0030,2026-01-10,EQ_A,NIGHT,30,M01,0.9811,99.05,178.38,2.244,97.00,62.08,0.862,230.21,419.1,18.09,99.62,97.32,OK,0,0,PASS
B0031,2026-01-11,EQ_C,DAY,31,M08,1.0117,100.96,180.28,2.240,99.22,58.36,0.772,238.27,430.3,18.52,100.08,97.74,OK,0,0,PASS
B0032,2026-01-11,EQ_B,SWING,32,M01,1.0077,99.41,180.06,2.220,99.90,57.05,0.783,230.04,420.5,17.76,100.81,97.65,OK,0,0,PASS
B0033,2026-01-11,EQ_B,NIGHT,33,M08,0.9964,100.61,180.80,2.238,99.44,63.20,0.852,240.66,420.1,17.01,99.71,95.52,OK,0,0,PASS
B0034,2026-01-12,EQ_A,DAY,34,M01,1.0110,98.16,177.79,2.349,105.12,56.11,0.826,233.36,424.6,17.20,99.64,96.30,OK,0,0,PASS
B0035,2026-01-12,EQ_C,SWING,35,M01,0.9967,99.07,181.11,2.257,99.54,60.49,0.851,242.57,420.7,18.47,100.09,96.82,NG,0,0,PASS
