column,q1,q3,lower_bound,upper_bound,outlier_count
feed_ratio,0.9946750000000001,1.0073,0.9757375000000001,1.0262375000000001,8
raw_property,99.5775,100.9225,97.56,102.94,0
temperature,178.72,181.5,174.55,185.67000000000002,8
pressure,2.242,2.366,2.056,2.5520000000000005,4
feed_rate,97.3075,102.5425,89.45500000000001,110.39500000000001,4
reaction_time,58.47,63.34,51.16499999999999,70.64500000000001,3
vacuum,0.795,0.842,0.7245000000000001,0.9124999999999999,4
energy_kwh_per_ton,234.495,247.285,215.31,266.46999999999997,7
viscosity,423.1,446.9,387.4000000000001,482.5999999999999,6
particle_size,17.6875,18.62,16.28875,20.018750000000004,7
quality_value,99.2075,99.99,98.03375,101.16375,13
yield_pct,95.81,96.85,94.25000000000001,98.40999999999998,14
