batch_id,material_lot,feed_ratio,raw_property
B0001,M01,1.0075,99.52
B0002,M11,1.0039,100.26
B0003,M01,0.9918,98.62
B0004,M01,0.9938,98.78
B0005,M01,0.9869,99.19
B0006,M01,1.0051,99.02
B0007,M01,1.0103,99.21
B0008,M01,0.9904,99.55
B0009,M01,0.9978,99.60
B0010,M01,0.9979,98.64
B0011,M01,0.9916,98.86
B0012,M01,0.9849,99.68
B0013,M01,1.0097,100.03
B0014,M01,1.0029,98.47
B0015,M01,0.9964,99.33
B0016,M01,1.0024,100.72
B0017,M01,1.0062,98.29
B0018,M01,0.9921,100.22
B0019,M01,0.9766,99.74
B0020,M01,0.9854,98.01
B0021,M01,1.0074,99.31
B0022,M01,0.9987,97.98
B0023,M01,0.9948,98.54
B0024,M01,1.0079,99.39
B0025,M01,1.0016,99.05
B0026,M01,1.0158,98.29
B0027,M01,0.9937,99.48
B0028,M01,0.9969,99.66
B0029,M01,0.9850,99.57
B0030,M01,0.9811,99.05
B0031,M08,1.0117,100.96
B0032,M01,1.0077,99.41
B0033,M08,0.9964,100.61
B0034,M01,1.0110,98.16
B0035,M01,0.9967,99.07
B0036,M01,1.0024,98.94
B0037,M01,1.0045,99.36
B0038,M01,0.9876,99.73
B0039,M01,1.0192,100.23
B0040,M01,0.9926,100.11
B0041,M01,1.0019,98.46
B0042,M01,1.0042,99.94
B0043,M01,1.0056,100.45
B0044,M01,0.9956,98.60
B0045,M01,0.9730,99.35
B0046,M01,0.9990,99.63
B0047,M01,0.9979,99.47
B0048,M01,0.9829,98.96
B0049,M01,0.9923,100.62
B0050,M02,0.9967,101.49
B0051,M01,1.0052,99.39
B0052,M11,0.9905,100.26
B0053,M01,0.9931,99.30
B0054,M01,1.0092,100.48
B0055,M01,1.0026,100.64
B0056,M01,0.9939,98.96
B0057,M01,0.9881,99.86
B0058,M01,0.9918,100.73
B0059,M01,1.0140,99.56
B0060,M01,1.0075,99.32
B0061,M01,0.9916,99.00
B0062,M01,1.0022,99.32
B0063,M01,0.9989,99.36
B0064,M01,0.9779,99.43
B0065,M01,0.9915,98.90
B0066,M01,1.0039,99.23
B0067,M01,0.9699,98.54
B0068,M02,0.9968,100.18
B0069,M02,0.9945,101.01
B0070,M06,0.9976,99.37
B0071,M02,1.0061,99.94
B0072,M02,1.0028,100.69
B0073,M02,1.0073,100.34
B0074,M02,1.0041,99.84
B0075,M02,1.0107,100.60
B0076,M07,0.9879,100.91
B0077,M02,0.9985,100.37
B0078,M02,1.0133,99.13
B0079,M02,0.9871,100.73
B0080,M02,1.0092,99.58
