batch_id,temperature,pressure,feed_rate,reaction_time,vacuum,energy_kwh_per_ton
B0001,182.91,2.369,103.91,60.95,0.837,239.06
B0002,181.76,2.312,104.21,58.93,0.809,243.19
B0003,179.00,2.205,103.44,58.66,0.858,238.72
B0004,185.81,2.487,96.58,61.48,0.827,240.43
B0005,181.93,2.398,103.63,60.84,0.772,234.31
B0006,182.97,2.231,98.45,63.04,0.819,245.86
B0007,180.90,2.226,100.88,60.78,0.769,237.12
B0008,179.23,2.218,104.81,61.60,0.803,248.69
B0009,181.37,2.293,95.00,60.13,0.849,243.16
B0010,183.19,2.322,100.24,63.84,0.744,250.51
B0011,179.40,2.149,110.02,53.80,0.796,236.61
B0012,178.69,2.373,99.58,58.17,0.801,229.54
B0013,182.53,2.408,95.17,63.11,0.803,239.49
B0014,176.14,2.222,99.33,60.95,0.836,227.74
B0015,181.50,2.378,96.33,59.90,0.827,238.31
B0016,180.33,2.351,98.95,58.03,0.804,235.91
B0017,181.65,2.211,100.84,62.03,0.872,248.74
B0018,181.68,2.313,103.31,63.32,0.805,243.60
B0019,181.74,2.257,97.01,54.65,0.814,222.47
B0020,182.34,2.343,99.63,56.70,0.815,236.38
B0021,181.40,2.341,98.30,58.63,0.819,240.62
B0022,177.74,2.378,106.44,53.98,0.815,233.95
B0023,180.45,2.372,102.46,61.44,0.830,247.78
B0024,177.71,2.256,104.23,57.47,0.857,231.54
B0025,182.93,2.308,99.46,58.78,0.778,236.79
B0026,181.83,2.347,96.28,60.54,0.836,250.17
B0027,178.12,2.168,105.22,59.77,0.886,223.25
B0028,181.60,2.350,100.64,61.96,0.841,247.18
B0029,181.32,2.408,92.18,60.53,0.798,241.85
B0030,178.38,2.244,97.00,62.08,0.862,230.21
B0031,180.28,2.240,99.22,58.36,0.772,238.27
B0032,180.06,2.220,99.90,57.05,0.783,230.04
B0033,180.80,2.238,99.44,63.20,0.852,240.66
B0034,177.79,2.349,105.12,56.11,0.826,233.36
B0035,181.11,2.257,99.54,60.49,0.851,242.57
B0036,178.18,2.200,99.50,60.60,0.860,239.51
B0037,196.67,2.401,99.66,65.30,0.785,248.83
B0038,180.22,2.255,103.36,57.74,0.844,234.25
B0039,180.71,2.396,102.58,63.06,0.868,246.44
B0040,180.04,2.272,98.24,60.18,0.814,229.38
B0041,180.50,2.359,97.64,59.10,0.830,247.83
B0042,179.37,2.221,100.14,60.43,0.834,238.14
B0043,183.71,2.373,104.60,58.09,,247.74
B0044,183.19,2.489,98.85,61.34,0.871,246.45
B0045,180.17,2.223,100.32,56.33,0.802,220.88
B0046,177.74,2.243,103.78,59.23,0.844,232.70
B0047,180.30,2.339,98.46,61.79,0.805,250.21
B0048,177.71,2.244,98.37,62.25,0.755,230.78
B0049,184.88,2.398,96.01,64.82,0.853,244.79
B0050,180.23,2.361,102.03,59.67,0.802,243.07
B0051,176.10,2.305,102.28,54.62,0.828,233.69
B0052,178.92,2.168,100.47,57.18,0.798,224.94
B0053,174.73,2.297,98.80,62.13,0.780,228.83
B0054,179.10,2.315,99.35,54.85,0.779,227.81
B0055,179.30,2.279,98.22,62.88,0.785,238.26
B0056,179.97,2.193,96.40,56.59,0.860,228.89
B0057,184.24,2.528,101.02,62.01,0.783,241.87
B0058,181.85,2.436,95.66,64.03,0.804,248.46
B0059,178.24,2.273,106.65,57.88,,236.90
B0060,182.02,2.395,102.52,59.44,0.818,234.80
B0061,179.63,2.249,95.21,60.79,0.806,238.01
B0062,181.34,2.173,101.69,60.97,0.807,231.72
B0063,176.33,2.234,98.56,65.51,0.773,246.06
B0064,180.47,2.383,100.03,60.75,0.862,251.98
B0065,179.07,2.185,99.34,58.64,0.832,241.63
B0066,179.54,2.139,102.73,58.36,0.804,232.90
B0067,183.00,2.917,93.55,63.48,0.784,243.98
B0068,180.15,2.268,102.31,56.77,0.886,236.25
