batch_id,viscosity,particle_size,quality_value,yield_pct,quality_flag
B0001,420.4,17.92,99.97,95.88,NG
B0002,409.6,18.66,100.11,95.06,OK
B0003,397.0,17.79,99.84,95.65,OK
B0004,409.2,17.39,99.41,96.42,NG
B0005,409.0,17.84,99.80,97.50,OK
B0006,413.4,18.65,99.78,96.39,OK
B0007,414.1,18.35,98.91,95.55,OK
B0008,420.2,17.82,99.88,96.83,OK
B0009,409.2,18.10,100.22,96.57,OK
B0010,418.6,17.43,98.97,95.46,OK
B0011,393.4,16.88,98.78,97.70,OK
B0012,405.5,18.55,99.52,96.52,OK
B0013,435.6,18.60,99.37,96.45,OK
B0014,427.9,18.08,99.32,96.56,OK
B0015,428.9,16.75,99.90,96.54,OK
B0016,425.5,17.67,100.06,97.06,OK
B0017,428.4,17.57,98.90,96.52,OK
B0018,436.8,18.46,100.08,95.91,OK
B0019,401.7,18.42,99.80,96.37,OK
B0020,405.2,15.73,99.42,96.80,OK
B0021,423.6,16.65,100.34,97.01,OK
B0022,419.4,18.30,99.77,96.07,OK
B0023,418.8,18.35,99.76,96.68,OK
B0024,427.7,17.29,98.77,96.82,OK
B0025,427.0,18.51,99.45,94.89,OK
B0026,420.3,17.73,98.89,96.99,OK
B0027,415.1,17.99,99.42,96.74,OK
B0028,405.1,18.93,99.24,96.17,OK
B0029,437.0,16.89,101.00,96.50,OK
B0030,419.1,18.09,99.62,97.32,OK
B0031,430.3,18.52,100.08,97.74,OK
B0032,420.5,17.76,100.81,97.65,OK
B0033,420.1,17.01,99.71,95.52,OK
B0034,424.6,17.20,99.64,96.30,OK
B0035,420.7,18.47,100.09,96.82,NG
B0036,424.2,18.29,99.17,96.52,OK
B0037,438.6,17.68,98.37,95.81,OK
B0038,420.0,17.03,99.56,97.66,OK
B0039,438.6,19.00,100.46,95.88,OK
B0040,423.8,17.18,99.92,96.42,OK
B0041,425.4,17.10,100.16,96.52,OK
B0042,435.0,17.94,100.25,96.43,OK
B0043,430.6,18.09,99.42,95.47,OK
B0044,419.5,18.12,99.35,95.81,OK
B0045,388.9,17.82,100.63,97.83,OK
B0046,430.3,17.92,100.78,96.76,OK
B0047,440.5,18.50,100.23,97.10,OK
B0048,401.6,18.69,99.45,97.02,OK
B0049,435.4,18.63,98.66,94.87,NG
B0050,446.4,18.13,99.54,97.00,NG
